漢字,異体字
懿,㦉
懿,㱅
懾,慑
懼,愳
戔,戋
戔,㦮
扛,摃
扼,㧖
抉,挗
抔,㧵
拗,抝
拇,胟
拯,抍
捏,揑
掎,𢰤
捫,扪
揀,拣
搴,㩃
搦,搻
搶,抢
搗,捣
摶,㩛
摶,抟
撓,挠
撥,拨
撈,𢭐
撈,捞
撼,㨔
擘,孹
擂,攂
擱,搁
擠,㨈
擠,挤
擣,㨶
擣,𢭏
擣,捯
擯,摈
擲,掷
擺,摆
擽,攊
擽,㧰
攀,㐴
攤,摊
攤,擹
攣,挛
攫,爴
攫,㸕
攬,揽
龠,𠋁
龠,𠎤
龕,龛
黜,㔘
黶,黡
黷,黩
黎,㴝
黐,粚
斛,㪶
斟,酙
斟,㪸
斟,㘰
齟,𪗱
齟,龃
齠,龆
齦,龈
齬,𪘚
齬,龉
齪,龊
齷,龌
齲,䶚
齲,龋
齶,腭
齶,㗁
旃,旜
旃,㫋
旆,斾
旁,㝑
旌,旍
旛,旙
敲,㪣
斂,㪘
斂,敛
斃,毙
黌,黉
鴆,鸩
鴟,鸱
鴒,䴒
鴒,鸰
鴕,鸵
鴣,鸪
鴿,䧻
鴿,鸽
鵑,鹃
鵲,䧿
鵲,鹊
鶉,鹑
鶉,㝇
鶇,鸫
鵯,鹎
鶚,鹗
鶩,䳱
鶩,鹜
鶩,𨾣
鶲,鹟
鷁,鹢
鶻,鹘
鶺,鹡
鷆,鷏
鷂,鹞
鷙,鸷
鷓,鹧
鷸,鹬
鷦,鹪
鷯,鹩
鸛,鹳
鸞,鵉
鸞,鸾
毟,挘
毟,毮
毯,㲜
毯,㲭
黽,黾
黽,㫣
鼇,鰲
鼇,鳌
鼈,鱉
鼈,龞
鼈,鳖
魴,鲂
鮃,鲆
鮓,鲊
鮑,鲍
鮨,䱈
鯀,鮌
鯀,鲧
鯊,鯋
鯊,鲨
鯒,鲬
鯢,鲵
鯤,鲲
鯡,鲱
鯔,鲻
鯰,鲶
鰓,鳃
鰉,鳇
鰌,䲡
鰈,鲽
鰆,䲠
鰒,鳆
鰥,𩻄
鰥,鳏
鰾,鳔
鱠,鲙
鱧,鳢
鱸,魲
鱸,鲈
朧,胧
昊,昦
昃,昗
昶,㫤
晨,㫳
暈,晕
暉,晖
曦,㬢
暘,旸
耨,槈
耨,䅶
耙,䎱
耙,䎬
閂,闩
閨,闺
閘,闸
閔,闵
齎,䝴
魘,魇
魘,㱘
魑,䬜
魎,魉
閭,闾
閻,阎
閻,閆
閻,闫
閹,剦
閹,阉
閾,阈
闃,閴
闃,阒
闍,阇
闡,閳
闡,阐
闖,闯
闔,阖
闕,阙
闌,阑
罎,壜
罎,墰
罎,墵
罎,坛
罅,鎼
罌,甖
罌,甇
罌,罂
雹,䨌
雹,䨔
霄,䨭
霄,㲵
霏,䬠
霪,䨙
靉,叆
靂,雳
霰,䨷
霽,霁
霽,䨖
朮,术
朶,朵
朶,䒳
柩,匛
柝,𣔳
蛔,蜖
蜆,蚬
蜃,蜄
蜿,䖤
蜿,䗕
蝟,猬
蝸,蜗
螻,蝼
蟄,蛰
蟯,蛲
蟶,蛏
蠑,蝾
蠡,蟸
蠱,蛊
栲,𣑥
梔,栀
梟,䲷
梟,鴵
梟,枭
椏,𬂲
椏,桠
椁,槨
棗,栆
棗,枣
棠,㭻
楹,𣟅
椰,㭨
楫,檝
楫,艥
楮,柠
槁,槀
榴,橊
榜,㮄
槧,椠
樅,枞
槨,椁
樸,檏
橇,䢪
橈,𣓤
橈,桡
檣,樯
檠,㯳
檳,槟
檳,㯽
檻,槛
櫚,榈
欖,㰖
欖,榄
欒,栾
櫨,枦
櫨,栌
櫪,枥
櫺,欞
櫺,㯪
櫺,棂
肬,疣
胚,肧
胥,縃
胄,伷
脛,𦙾
脛,胫
脾,腗
膀,髈
膂,膐
膊,𦢸
膩,𧸐
膩,腻
膩,𦡸
曼,㬅
趾,䟖
跋,䟦
踵,歱
蹌,跄
蹈,𨂻
蹙,䠞
蹣,蹒
蹤,踨
蹶,蹷
躅,䠱
躋,䠁
躋,跻
躊,踌
躓,踬
躑,踯
躡,蹑
鹹,醎
膰,㸋
臀,臋
膾,脍
臉,脸
臍,𦜝
臍,䐡
臍,脐
臙,胭
臚,胪
漿,浆
沛,㳈
沛,伂
沱,沲
泪,涙
泪,淚
泪,㴃
泯,冺
洽,冾
洶,汹
靦,䩄
靦,腼
靨,靥
馘,聝
颯,䬃
颯,飒
飆,飙
飆,飇
飆,飈
飆,飚
飆,飊
颶,𩗗
颶,飓
飄,飃
飄,飘
浣,澣
浙,淛
涓,㳙
浹,浃
涅,𣵀
涅,湼
涎,㳄
淬,㳃
涵,㴠
涵,𣹢
淪,沦
渙,涣
湫,湬
湫,𣹌
渾,浑
渫,㳿
游,㳺
滄,沧
滔,㴞
滾,滚
漲,涨
滸,浒
漱,潄
滲,渗
滲,涁
滲,㵕
滷,瀂
滷,澛
滌,涤
潸,澘
潺,潹
澆,浇
潯,浔
澣,浣
濘,澝
瀋,渖
濺,溅
瀏,浏
瀉,泻
瀉,㵼
瀝,沥
瀟,潇
瀾,澜
瀲,潋
瀰,㳽
軋,轧
軛,軶
軛,轭
軻,轲
軫,轸
軼,轶
軾,轼
輅,辂
輊,轾
輊,䡹
輟,辍
輜,輺
輜,辎
輦,辇
輻,辐
輳,辏
轅,辕
轂,毂
輾,辗
轆,辘
轎,轿
轢,轹
轤,䡎
轤,轳
馮,冯
馮,溤
馭,驭
駟,驷
駛,驶
駑,驽
駘,骀
駝,駞
駝,驼
駱,骆
駭,骇
駻,馯
騁,𩧢
騁,骋
駸,骎
騅,骓
騏,骐
騫,䮿
騫,骞
驂,骖
驃,骠
騾,驘
騾,骡
驀,蓦
驕,骄
驍,骁
驟,骤
驪,骊
驤,骧
驥,蘎
驥,龮
驥,𩦸
驥,骥
驢,馿
驢,驴
笳,䈔
筧,笕
筱,篠
筱,筿
筱,𥴽
箘,箟
箘,䇹
箍,笟
篋,匧
篋,箧
歃,㰱
歃,𣣨
歟,欤
歛,㰸
聿,肀
雎,鴡
雉,鴙
雍,雝
雋,隽
雖,虽
篩,籭
篩,筛
簍,篓
簀,箦
簗,𥱋
簣,篑
簽,签
簫,簘
簫,箫
簫,𪛕
籃,篮
籌,筹
籔,䉤
籟,籁
珀,砶
琲,㻗
琺,珐
瑟,㻎
瑙,碯
瑁,㺺
瑩,莹
瑣,琑
瑣,琐
瑪,玛
瑰,瓌
瑰,璝
瓊,琼
瓔,珱
瓔,璎
瓏,珑
髻,䦇
鬘,䰋
鬣,鬛
鬣,㲱
鬢,髩
鬢,鬂
鬢,鬓
砒,磇
碪,砧
磑,硙
碼,码
磧,碛
磚,砖
磽,硗
礙,碍
礫,䃯
礫,砾
礬,矾
釵,钗
鈞,銁
鈞,銞
鈞,钧
鈕,钮
鈑,钣
鈔,钞
鉗,钳
鉗,䈤
鉉,铉
鉞,钺
鉞,龯
鉞,䤦
鉋,铇
鉈,铊
鈿,钿
銜,啣
銜,㘅
銜,衘
銜,衔
銖,铢
銕,鉄
銕,鐵
銕,鐡
銕,䥫
銕,铁
銓,铨
銛,銽
銛,铦
鋏,𨦇
鋏,铗
銹,鏥
銹,锈
銷,销
錏,铔
錙,鍿
錙,锱
錚,铮
鍠,锽
鎰,镒
鎬,镐
鏖,䥝
鏘,𨪙
鏘,锵
鏤,镂
鏨,錾
鏃,镞
鏝,𨭜
鏝,镘
鏐,镠
鏗,铿
鐃,铙
鐐,镣
鐓,鐜
鐓,镦
鐫,鎸
鐫,镌
鐶,镮
鐺,铛
鑠,铄
鑞,镴
鑪,鈩
鑰,钥
鑷,镊
