漢字,辞典,検字番号
図,大漢和辞典,4734
図,日本語漢字辞典,1800
図,新大字典,2461
図,大字源,1459
図,大漢語林,1740
頭,大漢和辞典,43490
頭,日本語漢字辞典,14162
頭,新大字典,18988
頭,大字源,11252
頭,大漢語林,12849
数,大漢和辞典,13319
数,日本語漢字辞典,4418
数,新大字典,6164
数,大字源,3695
数,大漢語林,4320
西,大漢和辞典,34763
西,日本語漢字辞典,11745
西,新大字典,15457
西,大字源,9167
西,大漢語林,10501
星,大漢和辞典,13837
星,日本語漢字辞典,4578
星,新大字典,6424
星,大字源,3845
星,大漢語林,4476
声,大漢和辞典,5645
声,日本語漢字辞典,2137
声,新大字典,2873
声,大字源,7803
声,大漢語林,2081
晴,大漢和辞典,13994
晴,大漢和辞典,13994
晴,日本語漢字辞典,4643
晴,日本語漢字辞典,4644
晴,新大字典,6504
晴,新大字典,6505
晴,大字源,3895
晴,大字源,3896
晴,大漢語林,4547
晴,大漢語林,4548
雪,大漢和辞典,42216
雪,大漢和辞典,42216
雪,日本語漢字辞典,13865
雪,日本語漢字辞典,13866
雪,新大字典,18557
雪,新大字典,18558
雪,大字源,10999
雪,大字源,11000
雪,大漢語林,12598
雪,大漢語林,12599
切,大漢和辞典,1858
切,大漢和辞典,1878
切,日本語漢字辞典,837
切,日本語漢字辞典,838
切,新大字典,1125
切,新大字典,1133
切,大字源,667
切,大字源,672
切,大漢語林,827
切,大漢語林,830
船,大漢和辞典,30407
船,日本語漢字辞典,9824
船,日本語漢字辞典,9825
船,日本語漢字辞典,9826
船,新大字典,13511
船,大字源,8102
船,大字源,8103
船,大漢語林,9224
線,大漢和辞典,27641
線,日本語漢字辞典,9071
線,新大字典,12327
線,大字源,7456
線,大漢語林,8759
前,大漢和辞典,2011
前,日本語漢字辞典,892
前,日本語漢字辞典,893
前,新大字典,1206
前,新大字典,1207
前,大字源,716
前,大字源,717
前,大漢語林,886
前,大漢語林,887
組,大漢和辞典,27374
組,日本語漢字辞典,8910
組,新大字典,12175
組,大字源,7325
組,大漢語林,8615
走,大漢和辞典,37034
走,日本語漢字辞典,12354
走,新大字典,16428
走,大字源,9731
走,大漢語林,11097
太,大漢和辞典,5834
太,日本語漢字辞典,2177
太,新大字典,2952
太,大字源,1753
太,大漢語林,2124
多,大漢和辞典,5756
多,日本語漢字辞典,2166
多,新大字典,2926
多,大字源,1743
多,大漢語林,2110
体,大漢和辞典,509
体,大漢和辞典,540
体,日本語漢字辞典,279
体,日本語漢字辞典,284
体,新大字典,399
体,新大字典,401
体,大字源,203
体,大漢語林,258
体,大漢語林,260
台,大漢和辞典,3246
台,日本語漢字辞典,1286
台,新大字典,1738
台,大字源,1057
台,大漢語林,1248
弟,大漢和辞典,9737
弟,日本語漢字辞典,3254
弟,新大字典,4538
弟,大字源,2601
弟,大漢語林,3144
池,大漢和辞典,17141
池,日本語漢字辞典,5844
池,新大字典,8226
池,大字源,4819
池,大漢語林,5808
地,大漢和辞典,4890
地,日本語漢字辞典,1850
地,新大字典,2530
地,大字源,1498
地,大漢語林,1794
知,大漢和辞典,23935
知,日本語漢字辞典,7879
知,新大字典,10893
知,大字源,6535
知,大漢語林,7660
茶,大漢和辞典,30915
茶,大漢和辞典,30915
茶,日本語漢字辞典,10198
茶,日本語漢字辞典,10199
茶,新大字典,13762
茶,新大字典,13763
茶,大字源,8271
茶,大字源,8272
茶,大漢語林,9432
茶,大漢語林,9433
昼,大漢和辞典,13886
昼,日本語漢字辞典,2703
昼,新大字典,6419
昼,大字源,3846
昼,大漢語林,4478
長,大漢和辞典,41100
長,日本語漢字辞典,13591
長,新大字典,18150
長,大字源,10763
長,大漢語林,12341
朝,大漢和辞典,14374
