漢字,含む漢字
一,硑
一,硌
一,硉
一,硭
一,䄅
一,祫
一,䅈
一,秱
一,惐
一,㥛
一,惀
一,掗
一,掝
一,掆
一,掭
一,掚
一,掄
一,旍
一,晗
一,脘
一,脜
一,脵
一,梡
一,桱
一,梣
一,桻
一,梆
一,梩
一,捿
一,偓
一,偆
一,偁
一,偰
一,偷
一,偒
一,偪
一,偭
一,偠
一,偎
一,偋
一,偾
一,偂
一,剭
一,剨
一,㓵
一,㓶
一,剬
一,勔
一,殑
一,匒
一,匾
一,匬
一,卙
一,偄
一,偍
一,偡
一,偳
一,减
一,凐
一,凑
一,卾
一,叄
一,唪
一,唭
一,唴
一,唶
一,啊
一,啛
一,啢
一,喯
一,圇
一,埝
一,埞
一,埡
一,埢
一,埧
一,埨
一,埲
一,堇
一,堈
一,娬
一,娸
一,娿
一,婍
一,婖
一,婘
一,婝
一,婨
一,婭
一,婯
一,婼
一,孲
一,屙
一,帺
一,庴
一,徛
一,徣
一,悿
一,惗
一,捯
一,捹
一,掋
一,掑
一,掿
一,梇
一,梒
一,欳
一,殌
一,殎
一,殏
一,殐
一,氪
一,氫
一,淂
一,淎
一,淏
一,淛
一,淠
一,淢
一,淰
一,渀
一,渃
一,渆
一,烴
一,烷
一,焘
一,牻
一,牼
一,猉
一,猎
一,猐
一,猘
一,琌
一,眰
一,硂
一,硆
一,硍
一,秴
一,秷
一,粖
一,紷
一,絊
一,羛
一,翉
一,翐
一,耚
一,耛
一,聇
一,菋
一,菍
一,菕
一,菧
一,菿
一,蚽
一,蛃
一,袸
一,袻
一,訡
一,訮
一,谻
一,貦
一,赹
一,赺
一,軡
一,逥
一,釫
一,镺
一,陚
一,陯
一,陹
一,㐡
一,㒻
一,㓘
一,㓱
一,㓲
一,㓳
一,㓴
一,㔭
一,㕗
一,㖪
一,㖯
一,㖰
一,㚜
一,㛧
一,㛨
一,㛭
一,㝛
一,㝜
一,㝞
一,㝟
一,㞃
一,㞄
一,㞅
一,㞆
一,㟙
一,㟠
一,㟡
一,㟢
一,㠱
一,㡌
一,㢊
一,㥂
一,㥍
一,㥓
一,㧹
一,㫊
一,㫋
一,㫯
一,㭮
一,㱢
一,㱣
一,㲵
一,㳻
一,㳾
一,㴁
一,㴂
一,㴉
一,㴊
一,㶺
一,㶻
一,㶾
一,㸘
一,㸼
一,㻍
一,㼣
一,㼤
一,㽝
一,㾌
一,㾍
一,㾑
一,㿯
一,䀧
一,䀫
一,䂣
一,䂩
一,䂪
一,䂭
一,䂮
一,䂯
一,䄼
一,䅀
一,䅇
一,䆚
一,䆟
一,䇡
一,䇤
一,䇥
一,䉽
一,䋊
一,䋍
一,䋑
一,䋔
一,䍅
一,䍆
一,䍪
一,䎃
一,䎆
一,䎣
一,䏵
一,䓜
一,䓣
一,䓧
一,䖧
一,䖨
一,䘭
一,䙹
一,䚶
一,䛁
一,䛂
一,䛃
一,䝈
一,䝧
一,䞙
一,䟚
一,䟛
一,䡍
一,䢚
一,䢠
一,䣌
一,䣏
一,䣪
一,䤚
一,䤜
一,䧔
一,䧕
一,笼
一,袭
一,龚
一,聋
一,龛
一,䴕
一,匮
一,殒
一,喏
一,洴
一,祬
一,邫
一,㳟
一,淃
一,渔
一,硕
一,偔
一,偿
一,兽
一,阈
一,啱
一,啲
一,啳
一,啶
一,壸
一,领
一,婳
一,骐
一,骑
一,悫
一,惬
一,敛
一,检
一,㨈
一,鱾
一,殓
一,渏
一,焓
一,鸸
一,鸻
一,鸽
一,琒
一,痖
一,硓
一,硔
一,硖
一,硗
一,硘
一,硙
一,硚
一,硛
一,绮
一,绻
一,绽
一,聍
一,脸
一,㒮
一,萚
一,萛
一,萣
一,㖭
一,㖮
一,衐
一,衔
一,㖵
一,㙋
一,铏
一,铔
一,铗
一,铙
一,铚
一,铜
一,谌
一,谔
一,谕
一,谖
一,谝
一,辆
一,㢌
一,铣
一,铥
一,铪
一,酜
一,酝
一,㫌
一,䓫
一,䓕
一,䏺
一,䅉
一,䄽
一,㿠
一,𡸴
一,𣳾
一,𥒎
一,𡌶
一,𡸳
一,𢮦
一,𣇃
一,𥞩
一,𦱳
一,𨛺
一,𣨍
一,𬂲
一,𦊷
一,雲
一,絵
一,場
一,答
一,道
一,開
一,寒
一,期
一,港
一,勝
一,着
一,湯
一,童
一,筆
一,陽
一,街
一,給
一,極
一,散
一,焼
一,貯
一,博
一,満
一,量
一,検
一,減
一,証
一,提
一,備
一,富
一,割
一,貴
一,勤
一,詞
一,就
一,善
一,創
一,棒
一,握
一,援
一,圏
一,殖
一,替
一,堤
一,塔
一,普
一,幅
一,帽
一,惑
一,敢
一,棋
一,欺
一,喫
一,硬
一,葬
一,揚
一,裂
一,堪
一,暁
一,琴
一,滋
一,硝
一,喪
一,惰
一,搭
一,筒
一,廃
一,塀
一,遍
一,愉
一,硫
一,椅
一,媛
一,喩
一,渥
一,淵
一,萱
一,葵
一,喧
一,硯
一,蛤
一,斯
一,覗
一,蛭
一,惹
一,粟
一,棲
一,揃
一,湊
一,巽
一,湛
一,硲
一,溌
一,弼
一,斌
一,裡
一,葎
一,隈
一,棊
一,厥
一,喊
一,喘
一,堙
一,孳
一,寔
一,寐
一,幄
一,愕
一,惴
一,愃
一,戞
一,掣
一,揆
一,揣
一,揄
一,朞
一,蛬
一,椏
一,跖
一,跌
一,跚
一,湲
一,湮
一,湍
一,渟
一,湎
一,渝
一,湃
一,軻
一,軼
一,筅
一,欹
一,鈞
一,絖
一,絎
一,絣
一,訶
一,詆
一,瓠
一,覃
一,猯
一,猥
一,隋
一,鄂
一,痙
一,粨
一,甦
一,萼
一,葯
一,畴
一,皖
一,耋
一,賁
一,觝
一,翕
一,躰
一,硴
一,粭
一,堯
一,厦
一,惠
一,貳
一,殘
一,殕
一,惡
一,蒄
一,嵜
一,棯
一,椪
一,椡
一,椦
一,棡
一,棆
一,殼
一,畫
一,粫
一,粡
一,黑
一,髠
一,靮
一,傎
一,鈐
一,鈨
一,鈇
一,鈃
一,隂
一,隆
一,陻
一,陾
一,隄
一,隃
一,詝
一,詄
一,詅
一,䜭
一,豾
一,䟡
一,跊
一,軨
一,逪
一,逩
一,㴑
一,鄈
一,鄄
一,鄃
一,筕
一,粠
一,粞
一,稉
一,䋖
一,絙
一,絜
一,絭
一,絝
一,絰
一,絧
一,絚
一,缿
一,缾
一,羡
一,耠
一,聏
一,聠
一,臰
一,臵
一,臸
一,臶
一,臷
一,舼
一,葊
一,葳
一,葜
一,萲
一,葓
一,葘
一,葚
一,葴
一,葏
一,葥
一,塟
一,葶
一,葍
一,萹
一,葽
一,蚈
一,蛚
一,衕
一,裓
一,琦
一,琪
一,珷
一,琫
一,瓺
一,瓼
一,痝
一,皕
一,睂
一,睆
一,硪
一,确
一,硞
一,硤
一,硜
一,硡
一,硣
一,硨
一,硥
一,硠
一,惎
一,愖
一,愞
一,愓
一,愊
一,惼
一,愐
一,揜
一,揵
一,揳
一,㨎
一,揎
一,揕
一,揨
一,掽
一,㨔
一,攲
一,敧
一,敜
一,斮
一,腃
一,腍
