漢字,分類
雙,旧字体・新字体
嚴,旧字体・新字体
團,旧字体・新字体
壞,旧字体・新字体
壓,旧字体・新字体
壘,旧字体・新字体
壽,旧字体・新字体
孃,旧字体・新字体
將,旧字体・新字体
專,旧字体・新字体
對,旧字体・新字体
屆,旧字体・新字体
屬,旧字体・新字体
帶,旧字体・新字体
廣,旧字体・新字体
廢,旧字体・新字体
廳,旧字体・新字体
從,旧字体・新字体
戰,旧字体・新字体
戲,旧字体・新字体
拂,旧字体・新字体
挾,旧字体・新字体
搜,旧字体・新字体
插,旧字体・新字体
搖,旧字体・新字体
攝,旧字体・新字体
擧,旧字体・新字体
收,旧字体・新字体
效,旧字体・新字体
敕,旧字体・新字体
敍,旧字体・新字体
數,旧字体・新字体
變,旧字体・新字体
斷,旧字体・新字体
晉,旧字体・新字体
晝,旧字体・新字体
檢,旧字体・新字体
歐,旧字体・新字体
歡,旧字体・新字体
歸,旧字体・新字体
殼,旧字体・新字体
毆,旧字体・新字体
滿,旧字体・新字体
溪,旧字体・新字体
滯,旧字体・新字体
潛,旧字体・新字体
燒,旧字体・新字体
爐,旧字体・新字体
爭,旧字体・新字体
爲,旧字体・新字体
犧,旧字体・新字体
狹,旧字体・新字体
默,旧字体・新字体
獨,旧字体・新字体
畫,旧字体・新字体
癡,旧字体・新字体
穩,旧字体・新字体
穰,旧字体・新字体
聲,旧字体・新字体
聰,旧字体・新字体
肅,旧字体・新字体
腦,旧字体・新字体
膽,旧字体・新字体
臟,旧字体・新字体
臺,旧字体・新字体
與,旧字体・新字体
舊,旧字体・新字体
艷,旧字体・新字体
號,旧字体・新字体
蠶,旧字体・新字体
衞,旧字体・新字体
裝,旧字体・新字体
襃,旧字体・新字体
覽,旧字体・新字体
觀,旧字体・新字体
觸,旧字体・新字体
謠,旧字体・新字体
譽,旧字体・新字体
讀,旧字体・新字体
讓,旧字体・新字体
豐,旧字体・新字体
貮,大字
賣,旧字体・新字体
賣,左右対称
贊,旧字体・新字体
辭,旧字体・新字体
辯,旧字体・新字体
隨,旧字体・新字体
醉,旧字体・新字体
釋,旧字体・新字体
陷,旧字体・新字体
險,旧字体・新字体
隱,旧字体・新字体
隸,旧字体・新字体
靈,旧字体・新字体
靜,旧字体・新字体
騷,旧字体・新字体
驅,旧字体・新字体
驛,旧字体・新字体
驗,旧字体・新字体
體,旧字体・新字体
髮,旧字体・新字体
欄,旧字体・新字体
虜,旧字体・新字体
類,旧字体・新字体
廊,旧字体・新字体
朗,旧字体・新字体
猪,旧字体・新字体
神,旧字体・新字体
祥,旧字体・新字体
福,旧字体・新字体
諸,旧字体・新字体
都,旧字体・新字体
侮,旧字体・新字体
僧,旧字体・新字体
勉,旧字体・新字体
勤,旧字体・新字体
卑,旧字体・新字体
嘆,旧字体・新字体
器,旧字体・新字体
墨,旧字体・新字体
層,旧字体・新字体
悔,旧字体・新字体
憎,旧字体・新字体
懲,旧字体・新字体
敏,旧字体・新字体
暑,旧字体・新字体
海,旧字体・新字体
渚,旧字体・新字体
漢,旧字体・新字体
煮,旧字体・新字体
琢,旧字体・新字体
碑,旧字体・新字体
社,旧字体・新字体
祈,旧字体・新字体
祉,旧字体・新字体
祐,旧字体・新字体
祖,旧字体・新字体
祝,旧字体・新字体
禍,旧字体・新字体
禎,旧字体・新字体
穀,旧字体・新字体
突,旧字体・新字体
節,旧字体・新字体
練,旧字体・新字体
繁,旧字体・新字体
署,旧字体・新字体
者,旧字体・新字体
臭,旧字体・新字体
著,旧字体・新字体
視,旧字体・新字体
謁,旧字体・新字体
謹,旧字体・新字体
賓,旧字体・新字体
贈,旧字体・新字体
逸,旧字体・新字体
難,旧字体・新字体
響,旧字体・新字体
增,旧字体・新字体
寬,旧字体・新字体
德,旧字体・新字体
橫,旧字体・新字体
瀨,旧字体・新字体
綠,旧字体・新字体
緖,旧字体・新字体
薰,旧字体・新字体
賴,旧字体・新字体
郞,旧字体・新字体
黑,旧字体・新字体
卽,旧字体・新字体
巢,旧字体・新字体
徵,旧字体・新字体
揭,旧字体・新字体
擊,旧字体・新字体
晚,旧字体・新字体
曆,旧字体・新字体
步,旧字体・新字体
歷,旧字体・新字体
每,旧字体・新字体
涉,旧字体・新字体
淚,旧字体・新字体
渴,旧字体・新字体
溫,旧字体・新字体
焰,火・炎
狀,旧字体・新字体
瘦,旧字体・新字体
緣,旧字体・新字体
虛,旧字体・新字体
錄,旧字体・新字体
鍊,旧字体・新字体
鷗,鳥の名前（漢字一文字）
黃,旧字体・新字体
麤,同じ漢字三つで構成
麵,旧字体・新字体
㐂,同じ漢字三つで構成
龖,同じ漢字二つで構成
騳,同じ漢字二つで構成
鱻,同じ漢字三つで構成
鴸,想像上の動物
鶼,想像上の動物
鑫,同じ漢字三つで構成
厸,同じ漢字二つで構成
雔,同じ漢字二つで構成
靑,旧字体・新字体
誩,同じ漢字二つで構成
譶,同じ漢字三つで構成
豩,同じ漢字二つで構成
賏,同じ漢字二つで構成
辡,同じ漢字二つで構成
鄕,旧字体・新字体
羴,同じ漢字三つで構成
羽,旧字体・新字体
臸,同じ漢字二つで構成
舙,同じ漢字三つで構成
茻,同じ漢字二つで構成
茻,同じ漢字四つで構成
虤,同じ漢字二つで構成
䖵,同じ漢字二つで構成
褐,旧字体・新字体
玆,同じ漢字二つで構成
玨,同じ漢字二つで構成
甁,旧字体・新字体
甡,同じ漢字二つで構成
產,旧字体・新字体
畾,同じ漢字三つで構成
皕,同じ漢字二つで構成
皛,同じ漢字三つで構成
益,旧字体・新字体
䀠,同じ漢字二つで構成
硏,旧字体・新字体
祘,同じ漢字二つで構成
秭,数の単位
秝,同じ漢字二つで構成
稅,旧字体・新字体
惢,同じ漢字三つで構成
悅,旧字体・新字体
戶,旧字体・新字体
戾,旧字体・新字体
敎,旧字体・新字体
斦,同じ漢字二つで構成
昍,同じ漢字二つで構成
晿,同じ漢字三つで構成
曌,則天文字
瞾,則天文字
脫,旧字体・新字体
槑,同じ漢字二つで構成
猋,同じ漢字三つで構成
仝,左右対称
吕,同じ漢字二つで構成
倂,旧字体・新字体
兓,同じ漢字二つで構成
免,旧字体・新字体
兟,同じ漢字二つで構成
內,旧字体・新字体
仌,同じ漢字二つで構成
刕,同じ漢字三つで構成
劦,同じ漢字三つで構成
歲,旧字体・新字体
殺,旧字体・新字体
夶,同じ漢字二つで構成
芔,同じ漢字三つで構成
亖,同じ漢字二つで構成
厵,同じ漢字三つで構成
厽,同じ漢字三つで構成
叒,同じ漢字三つで構成
叕,同じ漢字二つで構成
叕,同じ漢字四つで構成
吅,同じ漢字二つで構成
吳,旧字体・新字体
吿,旧字体・新字体
喆,同じ漢字二つで構成
嚞,同じ漢字三つで構成
囍,同じ漢字二つで構成
囝,則天文字
垚,同じ漢字三つで構成
埊,則天文字
壵,同じ漢字三つで構成
奻,同じ漢字二つで構成
娛,旧字体・新字体
孖,同じ漢字二つで構成
孨,同じ漢字三つで構成
尛,同じ漢字三つで構成
屾,同じ漢字二つで構成
岀,同じ漢字二つで構成
弜,同じ漢字二つで構成
掱,同じ漢字三つで構成
朤,同じ漢字二つで構成
朤,同じ漢字四つで構成
歮,同じ漢字三つで構成
沝,同じ漢字二つで構成
淼,同じ漢字三つで構成
灥,同じ漢字三つで構成
炏,同じ漢字二つで構成
焱,同じ漢字三つで構成
燚,同じ漢字二つで構成
燚,同じ漢字四つで構成
牪,同じ漢字二つで構成
畕,同じ漢字二つで構成
瞐,同じ漢字三つで構成
砳,同じ漢字二つで構成
聑,同じ漢字二つで構成
